FullGeoName,Type,Year,County,Population,Incidence,Legend
"AL, Baldwin",Neuroinvasive disease cases,2003-2022,01003,194978,0.1,0.05 to 0.12
"AL, Conecuh",Neuroinvasive disease cases,2003-2022,01035,12908,0.39,>0.33
"AL, Escambia",Neuroinvasive disease cases,2003-2022,01053,37775,0.26,0.13 to 0.33
"AL, Mobile",Neuroinvasive disease cases,2003-2022,01097,414025,0.01,0.01 to 0.04
"AR, Sevier",Neuroinvasive disease cases,2003-2022,05133,17358,0.29,0.13 to 0.33
"CT, Middlesex",Neuroinvasive disease cases,2003-2022,09007,165390,0.03,0.01 to 0.04
"CT, New London",Neuroinvasive disease cases,2003-2022,09011,273093,0.05,0.05 to 0.12
"CT, Windham",Neuroinvasive disease cases,2003-2022,09015,117551,0.04,0.01 to 0.04
"FL, Bay",Neuroinvasive disease cases,2003-2022,12005,174704,0.03,0.01 to 0.04
"FL, Bradford",Neuroinvasive disease cases,2003-2022,12007,26804,0.19,0.13 to 0.33
"FL, Duval",Neuroinvasive disease cases,2003-2022,12031,886277,0.01,0.01 to 0.04
"FL, Gadsden",Neuroinvasive disease cases,2003-2022,12039,46084,0.11,0.05 to 0.12
"FL, Hillsborough",Neuroinvasive disease cases,2003-2022,12057,1304474,0.01,0.01 to 0.04
"FL, Holmes",Neuroinvasive disease cases,2003-2022,12059,19604,0.26,0.13 to 0.33
"FL, Leon",Neuroinvasive disease cases,2003-2022,12073,282006,0.05,0.05 to 0.12
"FL, Levy",Neuroinvasive disease cases,2003-2022,12075,39449,0.13,0.13 to 0.33
"FL, Okaloosa",Neuroinvasive disease cases,2003-2022,12091,192969,0.03,0.01 to 0.04
"FL, Pasco",Neuroinvasive disease cases,2003-2022,12101,474501,0.01,0.01 to 0.04
"FL, Polk",Neuroinvasive disease cases,2003-2022,12105,622808,0.01,0.01 to 0.04
"FL, Suwannee",Neuroinvasive disease cases,2003-2022,12121,43578,0.11,0.05 to 0.12
"FL, Taylor",Neuroinvasive disease cases,2003-2022,12123,22880,0.22,0.13 to 0.33
