year,state,name,lat,lon,duration_minutes,POPULATI_1,SQMI,POP20_SQMI,fips_city,closest_city,closest_distance,second_closest_city,second_closest_distance
2023,AZ,CHILCHINBITO,36.492002,-110.049213,3.033333333333333,769,23.77,32.3999999999999,0412630,ROUGH ROCK,18.59337759024722,KAYENTA,31.344021145415624
2023,AZ,CHINLE,36.151148,-109.578682,2.75,4573,16.05,284.899999999999,0412770,DEL MUERTO,13.43258729215625,MANY FARMS,21.966497165796476
2023,AZ,DEL MUERTO,36.187393,-109.435935,3.3,258,0.99,260.6,0418490,CHINLE,13.43258729215625,TSAILE,23.3072875394933
2023,AZ,DENNEHOTSO,36.828998,-109.875694,4.283333333333333,587,9.96,58.899999999999906,0418580,ROCK POINT,27.144070279206954,OLJATO-MONUMENT VALLEY,34.51440024467603
2023,AZ,FORT DEFIANCE,35.747502,-109.068018,2.1166666666666667,3541,6.42,551.6,0424460,WINDOW ROCK,8.573492922880604,ST. MICHAELS,9.996335355605913
2023,AZ,KAYENTA,36.717169,-110.260459,3.45,4670,13.24,352.69999999999897,0436990,OLJATO-MONUMENT VALLEY,30.369932565285943,CHILCHINBITO,31.344021145415624
2023,AZ,LUKACHUKAI,36.411233,-109.225538,4.25,1424,22.02,64.7,0442660,TSAILE,12.11533402915943,SEHILI,14.942801453343167
2023,AZ,MANY FARMS,36.342893,-109.637623,3.433333333333333,1243,8.18,152,0444200,ROUGH ROCK,21.948139046379843,CHINLE,21.966497165796476
2023,AZ,NAZLINI,35.911225,-109.474672,1.1,505,7.46,67.7,0449010,CHINLE,28.270234893159714,SAWMILL,28.657620270847406
2023,AZ,OLJATO-MONUMENT VALLEY,36.987248,-110.209642,4.216666666666667,115,12.32,9.3,0451142,OLJATO-MONUMENT VALLEY,6.078057954316555,KAYENTA,30.369932565285943
2023,AZ,RED MESA,36.971111,-109.36982,4.683333333333334,354,12.85,27.5,0459550,TEEC NOS POS,27.488604982528067,MONTEZUMA CREEK,31.724220985381436
2023,AZ,RED ROCK,36.601117,-109.064539,4.65,136,1.17,116.2,0459690,LUKACHUKAI,25.55136472887272,SANOSTEE,26.163672135495084
2023,AZ,ROCK POINT,36.696848,-109.619491,4.316666666666666,552,14.18,38.899999999999906,0460880,ROUND ROCK,25.561281191288543,DENNEHOTSO,27.144070279206954
2023,AZ,ROUGH ROCK,36.409489,-109.868403,3.1333333333333333,428,12.7899999999999,33.5,0461370,CHILCHINBITO,18.59337759024722,MANY FARMS,21.948139046379843
2023,AZ,ROUND ROCK,36.504256,-109.463156,4.166666666666667,640,14.35,44.6,0461440,LUKACHUKAI,23.634701111747017,MANY FARMS,23.782723962102462
2023,AZ,ST. MICHAELS,35.660559,-109.096174,0.7166666666666667,1384,3.82,362.3,0462420,WINDOW ROCK,3.1913140937492614,TSE BONITO,8.20130352544185
2023,AZ,SAWMILL,35.886227,-109.158016,2.683333333333333,564,5.77,97.7,0464590,NAVAJO,11.486135278741125,FORT DEFIANCE,17.429809222542804
2023,AZ,SEHILI,36.280772,-109.185521,4.066666666666666,153,0.65,235.4,0465400,TSAILE,3.8233337893719215,LUKACHUKAI,14.942801453343167
2023,AZ,SHONTO,36.587043,-110.662477,0.43333333333333335,494,4.57,108.09999999999901,0466260,KAYENTA,38.67247245007562,NAVAJO MOUNTAIN,52.39148093362279
2023,AZ,TEEC NOS POS,36.933289,-109.064115,4.6,507,14.3,35.5,0472560,BECLABITO,12.32694085405452,RED MESA,27.488604982528067
2023,AZ,TSAILE,36.302418,-109.218666,4.066666666666666,1408,6,234.699999999999,0475660,SEHILI,3.8233337893719215,LUKACHUKAI,12.11533402915943
2023,AZ,WINDOW ROCK,35.670505,-109.063037,1.2666666666666666,2500,5.29,472.6,0483720,ST. MICHAELS,3.1913140937492614,TSE BONITO,5.714997139212338
2023,CA,ALTURAS,41.489136,-120.551286,1.85,2715,2.85,952.6,0601444,DAPHNEDALE PARK,1.9893903874707342,CALIFORNIA PINES,12.66918054844809
2023,CA,CALIFORNIA PINES,41.413786,-120.66531,0.5,473,7.57,62.5,0609834,ALTURAS,12.66918054844809,DAPHNEDALE PARK,14.232649045413595
2023,CA,CEDARVILLE,41.528683,-120.174433,3.033333333333333,437,5.45,80.2,0612328,LAKE CITY,13.561439130003693,EAGLEVILLE,23.84409824660299
2023,CA,DAPHNEDALE PARK,41.506864,-120.548069,1.9833333333333334,129,0.83,155.4,0617995,ALTURAS,1.9893903874707342,CALIFORNIA PINES,14.232649045413595
2023,CA,DORRIS,41.964965,-121.920387,0.85,860,0.72,1194.4,0619584,KENO,18.48780661528184,FALCON HEIGHTS,22.917918140522854
2023,CA,EAGLEVILLE,41.318993,-120.114607,1.9,45,0.98,45.899999999999906,0620424,CEDARVILLE,23.84409824660299,LAKE CITY,37.37412097574908
2023,CA,FORT BIDWELL,41.863301,-120.159395,4.05,180,3.22,55.899999999999906,0625030,NEW PINE CREEK,18.088487831642038,NEW PINE CREEK,19.483650621373684
2023,CA,LAKE CITY,41.645317,-120.222097,3.45,71,5.82,12.1999999999999,0639472,CEDARVILLE,13.561439130003693,FORT BIDWELL,24.79052907339156
2023,CA,NEWELL,41.888731,-121.360249,2.3666666666666667,301,2.41,124.9,0651042,TULELAKE,11.907168366240144,MALIN,14.450711034418191
2023,CA,NEW PINE CREEK,41.98727,-120.300964,4.166666666666667,87,2.27,38.299999999999905,0651168,NEW PINE CREEK,1.5994865088072363,FORT BIDWELL,18.088487831642038
2023,CA,TULELAKE,41.95346,-121.474897,2.4833333333333334,902,0.41,2200,0680686,MALIN,8.565909211462408,NEWELL,11.907168366240144
2023,CO,CORTEZ,37.349783,-108.576687,2.716666666666667,8766,6.27,1398.0999999999901,0817375,DOLORES,15.470108649239858,LEWIS,18.42854755856979
2023,CO,DOLORES,37.474624,-108.499377,1.1666666666666667,885,0.66,1340.9,0820770,LEWIS,14.493634386293161,CORTEZ,15.470108649239858
2023,CO,DOVE CREEK,37.766842,-108.907173,0.36666666666666664,635,0.57,1114,0821265,LEWIS,36.641931000958216,MONTICELLO,39.345702032236616
2023,CO,LEWIS,37.501715,-108.660059,2.0833333333333335,257,3.11,82.59999999999991,0844595,DOLORES,14.493634386293161,CORTEZ,18.42854755856979
2023,CO,MANCOS,37.346641,-108.293841,1.2,1196,0.64,1868.7999999999902,0848115,DOLORES,23.066662553764438,CORTEZ,25.004893055942098
2023,CO,MARVEL,37.111185,-108.126327,2.533333333333333,68,0.13,523.1,0848940,LA PLATA,24.781176397161722,CEDAR HILL,28.31928985500468
2023,CO,TOWAOC,37.212599,-108.726461,3.65,1120,3.58,312.8,0878280,CORTEZ,20.206069419457844,LEWIS,32.67960736261632
2023,NV,BAKER,39.018669,-114.121004,3.966666666666667,41,0.91,45.1,3204100,ELY,70.22743888267864,MCGILL,70.82367699226387
2023,NV,BATTLE MOUNTAIN,40.628371,-116.948553,4.333333333333333,3705,6.12,605.399999999999,3204900,VALMY,23.49760963458401,CRESCENT VALLEY,39.156264548400394
