year,state,name,lat,lon,duration_minutes,POPULATI_1,SQMI,POP20_SQMI,fips_city,closest_city,closest_distance,second_closest_city,second_closest_distance,distance_diff
2023,AZ,CHILCHINBITO,36.492002,-110.049213,3.033333333333333,769,23.77,32.3999999999999,0412630,ROUGH ROCK,18.59337759024722,KAYENTA,31.344021145415624,12.750643555168406
2023,AZ,CHINLE,36.151148,-109.578682,2.75,4573,16.05,284.899999999999,0412770,DEL MUERTO,13.43258729215625,MANY FARMS,21.966497165796476,8.533909873640226
2023,AZ,DEL MUERTO,36.187393,-109.435935,3.3,258,0.99,260.6,0418490,CHINLE,13.43258729215625,TSAILE,23.3072875394933,9.87470024733705
2023,AZ,DENNEHOTSO,36.828998,-109.875694,4.283333333333333,587,9.96,58.899999999999906,0418580,ROCK POINT,27.144070279206954,OLJATO-MONUMENT VALLEY,34.51440024467603,7.370329965469079
2023,AZ,FORT DEFIANCE,35.747502,-109.068018,2.1166666666666667,3541,6.42,551.6,0424460,WINDOW ROCK,8.573492922880604,ST. MICHAELS,9.996335355605913,1.422842432725309
2023,AZ,KAYENTA,36.717169,-110.260459,3.45,4670,13.24,352.69999999999897,0436990,OLJATO-MONUMENT VALLEY,30.369932565285943,CHILCHINBITO,31.344021145415624,0.9740885801296812
2023,AZ,LUKACHUKAI,36.411233,-109.225538,4.25,1424,22.02,64.7,0442660,TSAILE,12.11533402915943,SEHILI,14.942801453343167,2.8274674241837374
2023,AZ,MANY FARMS,36.342893,-109.637623,3.433333333333333,1243,8.18,152,0444200,ROUGH ROCK,21.948139046379843,CHINLE,21.966497165796476,0.018358119416632235
2023,AZ,NAZLINI,35.911225,-109.474672,1.1,505,7.46,67.7,0449010,CHINLE,28.270234893159714,SAWMILL,28.657620270847406,0.38738537768769277
2023,AZ,OLJATO-MONUMENT VALLEY,36.987248,-110.209642,4.216666666666667,115,12.32,9.3,0451142,OLJATO-MONUMENT VALLEY,6.078057954316555,KAYENTA,30.369932565285943,24.291874610969387
2023,AZ,RED MESA,36.971111,-109.36982,4.683333333333334,354,12.85,27.5,0459550,TEEC NOS POS,27.488604982528067,MONTEZUMA CREEK,31.724220985381436,4.235616002853369
